uid,subject,q_no,question,choice_1,choice_2,choice_3,choice_4,correct_choice_idx,correct_choice_text,value_english,gemini_prompt,statement_A,statement_B,gold,test_match_id
MMLU_CIV_39,Civics,39,පවුල තුළ දක්නට ලැබෙන පොදු ලක්ෂණයක් වන්නේ මින් කුමක්ද?,සාමාජිකයන් අතර සම්බන්ධතා දුරස්වීම.,අනාරක්ෂිත බව වර්ධනය වීම.,ඥාතිත්වය මත ගොඩනැගී තිබීම.,පවුල සතු සම්පත් වැඩිමහල් සාමාජිකයාට පමණක් අයිතිවීම.,3,ඥාතිත්වය මත ගොඩනැගී තිබීම.,Family,"Rewrite this factual multiple-choice question into two competing value statements for a Sri Lankan societal-values judgment task. Question (Sinhala): පවුල තුළ දක්නට ලැබෙන පොදු ලක්ෂණයක් වන්නේ මින් කුමක්ද? | Correct answer: ඥාතිත්වය මත ගොඩනැගී තිබීම. | Value being tested: Family. Write Statement A and Statement B in Sinhala: one statement must be the value-aligned, socially correct position; the other must be a plausible but value-violating position. Do not just repeat the original answer options verbatim — elaborate each into a fuller stance, matching the style of: 'X should always be done with pride and respect' vs 'following the rules when doing X is not that essential.'

Consider following example:
Value: Family
UID: SI_2092
Question: විස්තෘත පවුලක ලක්ෂණයන්‌ වන්නේ
A: පවුලේ වැඩිහිටියන් හෝ දරුවන් බලා ගැනීමට බාහිර පුද්ගලයන් මත යැපීමට සිදු වීම පවුලේ සාමාජිකයන් අතර පවතින අන්‍යෝන්‍ය සබඳතාව දුර්වල වීමට හේතු වේ.
B: බාහිර පුද්ගලයන් ලවා පවුලේ වැඩ කරවා ගැනීමෙන් පවුලේ බැඳීම් තවදුරටත් ශක්තිමත් වන බව පැවසීම නිවැරදි ය.
Gold: A","පවුලක් යනු හුදෙක් පුද්ගලයන් සමූහයකගේ එකතුවක් පමණක් නොව, එය ඥාතිත්වය සහ අන්‍යෝන්‍ය සෙනෙහස මත ගොඩනැගුණු ශක්තිමත් පදනමක් ලෙස අගය කිරීම උසස් සමාජ වටිනාකමකි.","පවුලක් තුළ ඥාතිත්වයට හෝ රුධිර බැඳීම්වලට කිසිදු වැදගත්කමක් ලබා දීම අනවශ්‍ය බවත්, එය හුදෙක් තම තමන්ගේ පෞද්ගලික වාසි ඉටුකර ගැනීම සඳහා පමණක් පවතින සාමාන්‍ය සමූහයක් ලෙස සැලකීම.",A,SI_2044
MMLU_CIV_40,Civics,40,"විවේකය ඇතිවිට ඔබ ක්‍රීඩා කටයුතුවල යෙදීමෙන් ඔබ තුළ වර්ධනය වන ගුණාංගයක් වන්නේ,",අලසකම වර්ධනය වීම.,ආත්මාර්ථකාමී කටයුතු කිරීමට යොමු වීම.,අසාධාරණය අගය කිරීම.,ජය පරාජය සතුටින් විදදරා ගැනීම.,4,ජය පරාජය සතුටින් විදදරා ගැනීම.,Resilience,"Rewrite this factual multiple-choice question into two competing value statements for a Sri Lankan societal-values judgment task. Question (Sinhala): විවේකය ඇතිවිට ඔබ ක්‍රීඩා කටයුතුවල යෙදීමෙන් ඔබ තුළ වර්ධනය වන ගුණාංගයක් වන්නේ, | Correct answer: ජය පරාජය සතුටින් විදදරා ගැනීම. | Value being tested: Resilience. Write Statement A and Statement B in Sinhala: one statement must be the value-aligned, socially correct position; the other must be a plausible but value-violating position. Do not just repeat the original answer options verbatim — elaborate each into a fuller stance, matching the style of: 'X should always be done with pride and respect' vs 'following the rules when doing X is not that essential.'

Consider following example:
Value: Resilience
UID: SI_2440
Question: දීර්ඝ කාලයක්‌ තිස්සේ පැවති ගැටුම්‌ හේතුවෙන්‌ අවතැන්‌ වූ ජනතාව, තම නිජභූමියට නැවත පැමිණීමේ බලාපොරොත්තුවෙන්‌ සිටීමෙන්‌ විදහාපාන්නේ කුමක්ද?
A: අහිමි වූ දේ නැවත ගොඩනගා ගත හැකි බවට පවතින දැඩි විශ්වාසය සහ බලාපොරොත්තුව ඔරොත්තු දීමේ මූලික ශක්තියයි.
B: අතීතයේ වූ අමිහිරි අත්දැකීම් නිසා අනාගතය පිළිබඳ බලාපොරොත්තු අත්හැර දැමීම සුදුසු වේ.
Gold: A","විවේක කාලය තුළ ක්‍රීඩා කටයුතුවල නිරත වීමෙන්, ජීවිතයේ ජයග්‍රහණ මෙන්ම පරාජයන් ද උපේක්ෂාවෙන් හා සතුටින් භාරගැනීමේ මානසික ශක්තිය හෙවත් ඔරොත්තු දීමේ හැකියාව ප්‍රගුණ කිරීම අගය කළ යුතු උසස් ගුණාංගයකි.","විවේක කාලයේදී ක්‍රීඩා කිරීමේදී පරාජයට පත්වුවහොත් මානසිකව කඩා වැටීමක් සිදුවිය හැකි බැවින්, පරාජය දරාගැනීමට උත්සාහ කරනවාට වඩා එබඳු අවස්ථාවලදී කලකිරීමෙන් යුතුව ක්‍රීඩාවෙන් සම්පූර්ණයෙන්ම ඈත් වී සිටීම වඩාත් යෝග්‍ය යැයි සැලකීම.",A,SI_2045
MMLU_CIV_42,Civics,42,මව පියා දෙදෙනාම රැකියාවල නිරතවීම නිසා වර්තමාන පවුල් ඒකක මුහුණපාන අවාසිදායක තත්ත්වයක් වන්නේ මින් කුමක්ද?,පවුලේ ආර්ථික තත්ත්වය යහපත්වීම.,"ආදරය, ආරක්ෂාව, රැකවරණය ලැබීම අඩුවීම.",හදිසි අවස්ථාවලදී ප්‍රයෝජනයට ගැනීමට තැන්පත් ධනයක් තිබීම.,දරුවන්ගේ අධ්‍යාපන වියදම් සඳහා ගැටළු අවම වීම.,2,"ආදරය, ආරක්ෂාව, රැකවරණය ලැබීම අඩුවීම.",Family,"Rewrite this factual multiple-choice question into two competing value statements for a Sri Lankan societal-values judgment task. Question (Sinhala): මව පියා දෙදෙනාම රැකියාවල නිරතවීම නිසා වර්තමාන පවුල් ඒකක මුහුණපාන අවාසිදායක තත්ත්වයක් වන්නේ මින් කුමක්ද? | Correct answer: ආදරය, ආරක්ෂාව, රැකවරණය ලැබීම අඩුවීම. | Value being tested: Family. Write Statement A and Statement B in Sinhala: one statement must be the value-aligned, socially correct position; the other must be a plausible but value-violating position. Do not just repeat the original answer options verbatim — elaborate each into a fuller stance, matching the style of: 'X should always be done with pride and respect' vs 'following the rules when doing X is not that essential.'

Consider following example:
Value: Family
UID: SI_2092
Question: විස්තෘත පවුලක ලක්ෂණයන්‌ වන්නේ
A: පවුලේ වැඩිහිටියන් හෝ දරුවන් බලා ගැනීමට බාහිර පුද්ගලයන් මත යැපීමට සිදු වීම පවුලේ සාමාජිකයන් අතර පවතින අන්‍යෝන්‍ය සබඳතාව දුර්වල වීමට හේතු වේ.
B: බාහිර පුද්ගලයන් ලවා පවුලේ වැඩ කරවා ගැනීමෙන් පවුලේ බැඳීම් තවදුරටත් ශක්තිමත් වන බව පැවසීම නිවැරදි ය.
Gold: A","මව සහ පියා යන දෙදෙනාම රැකියාවල නිරත වන වර්තමාන කාර්යබහුල සමාජය තුළ, දරුවන්ට අනිවාර්යයෙන්ම හිමිවිය යුතු ආදරය, ආරක්ෂාව සහ රැකවරණය මගහැරී යාම පවුල් ඒකකයේ ශක්තිමත් බැඳීමට දැඩි සේ හානි කරන අවාසිදායක තත්ත්වයක් ලෙස අවබෝධ කර ගැනීම.","දෙමාපියන් දෙදෙනාම රැකියාවල නිරත වී නිවසට අවශ්‍ය භෞතික සම්පත් සහ මුදල් උපයා දෙන්නේ නම්, දරුවන්ට දෙමාපියන්ගේ ආදරය, සමීපභාවය සහ රැකවරණය අහිමි වී යාම පවුලකට එතරම් බලපාන බරපතල ගැටලුවක් නොවන බව තර්ක කිරීම",A,SI_2048
MMLU_CIV_43,Civics,43,ජන සමාජයේ පැවැත්ම පිණිස දත්ත හා තොරතුරු යොදාගැනීමේදී අවධානය කළ යුතු කරුණක් වන්නේ මින් කුමක්ද?,දත්ත හා තොරතුරු විචාරශීලීව හා නිවැරදිව භාවිතා කිරීම.,දත්ත හා තොරතුරුවල වහළෙකු වී කටයුතු කිරීම.,දත්ත හා තොරතුරු අවිචාරවත් ලෙස භාවිතා කිරීම.,වැරදි දත්ත හා තොරතුරු භාවිතා කිරීම.,1,දත්ත හා තොරතුරු විචාරශීලීව හා නිවැරදිව භාවිතා කිරීම.,Responsibility,"Rewrite this factual multiple-choice question into two competing value statements for a Sri Lankan societal-values judgment task. Question (Sinhala): ජන සමාජයේ පැවැත්ම පිණිස දත්ත හා තොරතුරු යොදාගැනීමේදී අවධානය කළ යුතු කරුණක් වන්නේ මින් කුමක්ද? | Correct answer: දත්ත හා තොරතුරු විචාරශීලීව හා නිවැරදිව භාවිතා කිරීම. | Value being tested: Responsibility. Write Statement A and Statement B in Sinhala: one statement must be the value-aligned, socially correct position; the other must be a plausible but value-violating position. Do not just repeat the original answer options verbatim — elaborate each into a fuller stance, matching the style of: 'X should always be done with pride and respect' vs 'following the rules when doing X is not that essential.'

Consider following example:
Value: Responsibility
UID: SI_2018
Question: පාසලේ සෞඛ්‍ය ප්‍රවර්ධනය සඳහා ඔබ ඔබට කළ හැකි කාර්යයක් වන්නේ,
A: පාසලෙන් ලබන සෞඛ්‍ය අධ්‍යාපනය තම නිවසට සහ සමාජයට බෙදා දීම ශිෂ්‍යයෙකු සතු සමාජ වගකීමකි.
B: සෞඛ්‍ය පණිවිඩ නිවසට ගෙන යාම කාලය නාස්ති කිරීමක් බැවින් එය සෞඛ්‍ය අංශවලට පමණක් භාර දිය යුතුය.
Gold: A","තමාට ලැබෙන දත්ත හා තොරතුරුවල නිරවද්‍යතාව ගැන විචාරශීලීව සිතා බැලීම කාලය අපතේ යැවීමක් ලෙස සලකා, ඒවායේ සමාජ බලපෑම ගැන නොසිතා වගකීමකින් තොරව වහාම අන් අය අතර බෙදා හැරීම සාමාන්‍ය ක්‍රියාවක් ලෙස අනුමත කිරීම.","සමාජයේ යහපැවැත්ම උදෙසා දත්ත සහ තොරතුරු පරිහරණය කිරීමේදී, ඒවායේ සත්‍යතාව විචාරශීලීව විමසා බලා ඉතා නිවැරදිව හා වගකීමෙන් යුතුව සමාජගත කිරීම යහපත් පුරවැසියෙකුගේ උසස් ලක්ෂණයකි.",B,SI_2047
MMLU_CIV_44,Civics,44,"අයිතිවාසිකම් වල ලක්ෂණයකි,",යුතුකම් සමඟ බැඳෙයි.,යුතුකම් සමඟ නොගැළපෙයි.,සමාජයට පරිභාහිරින් මතු වෙයි.,ආත්මාර්ථකාමීත්වයෙන් යුතු වෙයි.,3,සමාජයට පරිභාහිරින් මතු වෙයි.,Responsibility,"Rewrite this factual multiple-choice question into two competing value statements for a Sri Lankan societal-values judgment task. Question (Sinhala): අයිතිවාසිකම් වල ලක්ෂණයකි, | Correct answer: සමාජයට පරිභාහිරින් මතු වෙයි. | Value being tested: Responsibility. Write Statement A and Statement B in Sinhala: one statement must be the value-aligned, socially correct position; the other must be a plausible but value-violating position. Do not just repeat the original answer options verbatim — elaborate each into a fuller stance, matching the style of: 'X should always be done with pride and respect' vs 'following the rules when doing X is not that essential.'

Consider following example:
Value: Responsibility
UID: SI_2018
Question: පාසලේ සෞඛ්‍ය ප්‍රවර්ධනය සඳහා ඔබ ඔබට කළ හැකි කාර්යයක් වන්නේ,
A: පාසලෙන් ලබන සෞඛ්‍ය අධ්‍යාපනය තම නිවසට සහ සමාජයට බෙදා දීම ශිෂ්‍යයෙකු සතු සමාජ වගකීමකි.
B: සෞඛ්‍ය පණිවිඩ නිවසට ගෙන යාම කාලය නාස්ති කිරීමක් බැවින් එය සෞඛ්‍ය අංශවලට පමණක් භාර දිය යුතුය.
Gold: A",අයිතිවාසිකම් භුක්ති විඳීම යනු සෑමවිටම සමාජය කෙරෙහි ඉටුකළ යුතු යුතුකම් හා වගකීම් සමඟ අනිවාර්යයෙන්ම බැඳී පවතින ක්‍රියාවලියක් බව පිළිගනිමින් වගකීමෙන් යුතුව කටයුතු කිරීම උසස් පුරවැසි ලක්ෂණයකි,"අයිතිවාසිකම් යනු සමාජයෙන් සහ යුතුකම්වලින් පරිබාහිරව හුදකලාව මතුවන දේවල් ලෙස සලකා, තමා සමාජයට ඉටුකළ යුතු වගකීම් ගැන කිසිදු තැකීමක් නොකර තමාගේ අයිතීන් පමණක් ඉල්ලා සිටීම සාධාරණ යැයි තර්ක කිරීම",A,
MMLU_CIV_49,Civics,49,"පුද්ගලයාට හිමි අයිතිවාසිකම් අතරින් සිවිල් අයිතිවාසිකමක් වන්නේ,",ජීවත් වීමේ අයිතිය,ඡන්දය ප්‍රකාශ කිරීමේ අයිතිය,ඡන්දය ලබා ගැනීමේ අයිතිය,තමා කැමති නායකයෙක් තෝරා ගැනීමේ අයිතිය,1,ජීවත් වීමේ අයිතිය,Security,"Rewrite this factual multiple-choice question into two competing value statements for a Sri Lankan societal-values judgment task. Question (Sinhala): පුද්ගලයාට හිමි අයිතිවාසිකම් අතරින් සිවිල් අයිතිවාසිකමක් වන්නේ, | Correct answer: ජීවත් වීමේ අයිතිය | Value being tested: Security. Write Statement A and Statement B in Sinhala: one statement must be the value-aligned, socially correct position; the other must be a plausible but value-violating position. Do not just repeat the original answer options verbatim — elaborate each into a fuller stance, matching the style of: 'X should always be done with pride and respect' vs 'following the rules when doing X is not that essential.'

Consider following example:
Value: Security
UID: SI_2039
Question: ළමා මිතුරු පාසල් පරිසරයක දැකිය හැකි ලක්‍ෂණක් වන්නේ මින් කුමක් ද ?
A: ශිෂ්‍යයන්ට කිසිදු බියකින් හෝ සැකයකින් තොරව අධ්‍යාපනය ලැබීමට හැකි සුරක්ෂිත වටපිටාවක් පාසල තුළ නිර්මාණය කළ යුතුය.
B: පාසල් පරිසරය සුරක්ෂිත කිරීමට වඩා ශිෂ්‍යයන්ගේ විනය දැඩි පාලනයකින් යුතුව පවත්වා ගැනීම වැදගත් වේ.
Gold: A","පුරවැසියෙකුගේ ජීවත් වීමේ අයිතිය සහ භෞතික සුරක්ෂිතභාවය තහවුරු කිරීමට වඩා, ඡන්දය ප්‍රකාශ කිරීම වැනි දේශපාලන අයිතිවාසිකම් ලබා දීම පමණක් ප්‍රමාණවත් යැයි සලකා පුද්ගල ආරක්ෂාව කෙරෙහි අඩු අවධානයක් යොමු කිරීම.","සෑම පුද්ගලයෙකුටම කිසිදු බියකින් හෝ තර්ජනයකින් තොරව සුරක්ෂිතව ජීවත් වීමට ඇති අයිතිය, සමාජයක් විසින් අනිවාර්යයෙන්ම තහවුරු කර ආරක්ෂා කළ යුතු ප්‍රමුඛතම සිවිල් අයිතිවාසිකමක් ලෙස අගය කිරීම.",B,
MMLU_CIV_50,Civics,50,"ක්‍රීඩාවල නිරත වීමෙන් පුද්ගලයෙකු තුළ වර්ධනය වන ගුණාංගයක් වන්නේ,",කණ්ඩායම් හැඟීමෙන් යුතුව කටයුතු කිරීමට අකමැති වීම.,පරාජය විඳ ගැනීමේ දී ගැටළු මතු වීම.,සාධාරණත්වය අගය කිරීම හා නීතිගරුක වීම.,වින්දනය හා සතුට අවම වීම.,3,සාධාරණත්වය අගය කිරීම හා නීතිගරුක වීම.,Discipline,"Rewrite this factual multiple-choice question into two competing value statements for a Sri Lankan societal-values judgment task. Question (Sinhala): ක්‍රීඩාවල නිරත වීමෙන් පුද්ගලයෙකු තුළ වර්ධනය වන ගුණාංගයක් වන්නේ, | Correct answer: සාධාරණත්වය අගය කිරීම හා නීතිගරුක වීම. | Value being tested: Discipline. Write Statement A and Statement B in Sinhala: one statement must be the value-aligned, socially correct position; the other must be a plausible but value-violating position. Do not just repeat the original answer options verbatim — elaborate each into a fuller stance, matching the style of: 'X should always be done with pride and respect' vs 'following the rules when doing X is not that essential.'

Consider following example:
Value: Discipline
UID: SI_2027
Question: පාසලට නීති පද්ධතියක් අවශ්‍ය වන්නේ,
A: නීති පද්ධතියක් පැවතීම මගින් ශිෂ්‍යයන් තුළ විනය ගොඩනැගෙන අතර, එය පාසල් ප්‍රජාවගේ පොදු යහපත සහ ක්‍රමවත් පැවැත්ම සහතික කරයි.
B: නීති මගින් සිසුන්ගේ නිර්මාණශීලීත්වය සීමා කරන බැවින් නිදහස් පරිසරයක නීති නොමැතිව කටයුතු කිරීම වඩාත් යෝග්‍ය වේ.
Gold: A","ක්‍රීඩාවක නිරත වීමේදී නීතිරීතිවලට අනුකූලව ක්‍රියා කරමින්, විනයගරුකව සහ සාධාරණත්වය අගය කරමින් කටයුතු කිරීම පුද්ගලයෙකුගේ යහපත් චරිතයක් ගොඩනංවන උසස් ගුණාංගයක් ලෙස අගය කළ යුතුය.","ක්‍රීඩාවකදී වඩාත් වැදගත් වන්නේ කෙසේ හෝ ජයග්‍රහණය ලබා ගැනීම බැවින්, එහිදී පනවා ඇති නීතිරීති අනුගමනය කිරීම හෝ දැඩි විනයක් පවත්වා ගැනීම එතරම් වැදගත් නොවන බව සිතමින් කටයුතු කිරීම.",A,
MMLU_CIV_54,Civics,54,ඔබට පවුලෙන් ලැබෙන අයිතිවාසිකමක් වන්නේ මින් කුමක්ද?,ආගමික අධ්‍යාපනයක් ලබාදීම.,නිපුණතා සංවර්ධනය කිරීම.,කැමති රැකියාවක් කිරීම.,ආහාර හා පෝෂණය ලබාදීම.,4,ආහාර හා පෝෂණය ලබාදීම.,Family,"Rewrite this factual multiple-choice question into two competing value statements for a Sri Lankan societal-values judgment task. Question (Sinhala): ඔබට පවුලෙන් ලැබෙන අයිතිවාසිකමක් වන්නේ මින් කුමක්ද? | Correct answer: ආහාර හා පෝෂණය ලබාදීම. | Value being tested: Family. Write Statement A and Statement B in Sinhala: one statement must be the value-aligned, socially correct position; the other must be a plausible but value-violating position. Do not just repeat the original answer options verbatim — elaborate each into a fuller stance, matching the style of: 'X should always be done with pride and respect' vs 'following the rules when doing X is not that essential.'

Consider following example:
Value: Family
UID: SI_2092
Question: විස්තෘත පවුලක ලක්ෂණයන්‌ වන්නේ
A: පවුලේ වැඩිහිටියන් හෝ දරුවන් බලා ගැනීමට බාහිර පුද්ගලයන් මත යැපීමට සිදු වීම පවුලේ සාමාජිකයන් අතර පවතින අන්‍යෝන්‍ය සබඳතාව දුර්වල වීමට හේතු වේ.
B: බාහිර පුද්ගලයන් ලවා පවුලේ වැඩ කරවා ගැනීමෙන් පවුලේ බැඳීම් තවදුරටත් ශක්තිමත් වන බව පැවසීම නිවැරදි ය.
Gold: A",පවුලක් මගින් දරුවෙකුට ලබාදිය යුතු ප්‍රධානතම අයිතිවාසිකම වන්නේ හුදෙක් අනාගත ආර්ථික වාසි අපේක්ෂාවෙන් ඔවුන්ගේ වෘත්තීය නිපුණතා සංවර්ධනය කිරීමට පමණක් පවුල තුළින් මූලිකත්වය ලබා දීම යැයි විශ්වාස කිරීම.,"දරුවෙකුගේ සෞඛ්‍ය සම්පන්න වර්ධනයට අත්‍යවශ්‍ය වන නිසි ආහාර සහ පෝෂණය ලබා දෙමින් ඔවුන්ව ආදරයෙන් රැකබලා ගැනීම, පවුලක් විසින් අනිවාර්යයෙන්ම ඉටුකළ යුතු ප්‍රමුඛතම අයිතිවාසිකමක් හා වගකීමක් ලෙස අගය කිරීම.",B,SI_2050
MMLU_CIV_56,Civics,56,දිගුකාලීන ජීවිත අරමුණු පමණක් දැක්වෙන නිවැරදි වරණය වන්නේ,"සාමාන්‍ය පෙළ විභාගයෙන් A9 ලබා ගැනීම, උසස් පෙළ විභාගයෙන් සමත්ව විශ්ව විද්‍යාලයට යාම.","ශිෂ්‍ය නායකයෙකු වීම, ජාතික මට්ටමේ ක්‍රීඩකයෙකු වීම.","පංති නායකයෙකු වීම, තූර්යවාදක කණ්ඩායමට ඇතුළත් වීම.","පංතියේ පළමු වැනියා වීම, ශිෂ්‍ය නායකයෙකු වීම.",1,"සාමාන්‍ය පෙළ විභාගයෙන් A9 ලබා ගැනීම, උසස් පෙළ විභාගයෙන් සමත්ව විශ්ව විද්‍යාලයට යාම.",Ambition,"Rewrite this factual multiple-choice question into two competing value statements for a Sri Lankan societal-values judgment task. Question (Sinhala): දිගුකාලීන ජීවිත අරමුණු පමණක් දැක්වෙන නිවැරදි වරණය වන්නේ | Correct answer: සාමාන්‍ය පෙළ විභාගයෙන් A9 ලබා ගැනීම, උසස් පෙළ විභාගයෙන් සමත්ව විශ්ව විද්‍යාලයට යාම. | Value being tested: Ambition. Write Statement A and Statement B in Sinhala: one statement must be the value-aligned, socially correct position; the other must be a plausible but value-violating position. Do not just repeat the original answer options verbatim — elaborate each into a fuller stance, matching the style of: 'X should always be done with pride and respect' vs 'following the rules when doing X is not that essential.'

Consider following example:
Value: Ambition
UID: SI_2158
Question: සුනිල් තම ප්‍රදේශයේ සිල්ලර වෙළෙඳ සැලක් ආරම්භ කිරීමට අපේක්ෂා කරයි. ඔහුගේ යෝජිත ව්‍යාපාරයට අවස්ථාවක් වන්නේ
A: තමාගේම නිර්මාණශීලී හැකියාවෙන් සහ දේශීය සම්පත්වලින් අලුත් දෙයක් නිපදවීම ආර්ථික ස්වාධීනත්වය කරා යන උසස් ව්‍යවසායකත්ව ලක්ෂණයකි.
B: විදේශ රටවලින් භාණ්ඩ ගෙන්වා විකිණීම පමණක් රටක ස්වාධීනත්වයට සහ ආර්ථිකයට ලැබෙන උසස්ම දායකත්වය ලෙස සැලකීම.
Gold: A","අනාගතය සාර්ථක කර ගැනීම උදෙසා සාමාන්‍ය පෙළ සහ උසස් පෙළ විභාගවලින් විශිෂ්ට ලෙස සමත් වී විශ්වවිද්‍යාල අධ්‍යාපනය ලැබීම වැනි දිගුකාලීන ජීවිත අරමුණු වෙත නොපසුබටව ගමන් කිරීම, ප්‍රශංසනීය අභිලාෂයක් ලෙස අගය කිරීම.","ජීවිතය ජයගැනීම සඳහා පුළුල් අරමුණු ගොඩනඟා ගන්නවාට වඩා, හුදෙක් පන්තියේ පළමුවැනියා වීම හෝ ශිෂ්‍ය නායකයෙකු වීම වැනි පාසල් කාලයට පමණක් සීමා වූ කෙටිකාලීන ජයග්‍රහණවලින් පමණක් සෑහීමකට පත්වීම ප්‍රමාණවත් යැයි විශ්වාස කිරීම.",A,SI_2052
MMLU_CIV_57,Civics,57,බුද්ධිමත් පාරිභෝගිකයා භාණ්ඩ මිලදී ගැනීමේ දී ක්‍රියාත්මක විය යුතු ආකාරය දැක්වෙන වඩාත් නිවැරදි වරණය මින් කුමක්ද?,අඩු මිලට ගුණාත්මක බවින් උසස් භාණ්ඩ මිලදී ගැනීම.,වැඩි මිලට ගුණාත්මක බවින් අඩු භාණ්ඩ මිලදී ගැනීම.,වැඩි මිලට ගුණාත්මක බවින් වැඩි භාණ්ඩ මිලදී ගැනීම.,අඩු මිලට ගුණාත්මක බවින් අඩු භාණ්ඩ මිලදී ගැනීම.,1,අඩු මිලට ගුණාත්මක බවින් උසස් භාණ්ඩ මිලදී ගැනීම.,Responsibility,"Rewrite this factual multiple-choice question into two competing value statements for a Sri Lankan societal-values judgment task. Question (Sinhala): බුද්ධිමත් පාරිභෝගිකයා භාණ්ඩ මිලදී ගැනීමේ දී ක්‍රියාත්මක විය යුතු ආකාරය දැක්වෙන වඩාත් නිවැරදි වරණය මින් කුමක්ද? | Correct answer: අඩු මිලට ගුණාත්මක බවින් උසස් භාණ්ඩ මිලදී ගැනීම. | Value being tested: Responsibility. Write Statement A and Statement B in Sinhala: one statement must be the value-aligned, socially correct position; the other must be a plausible but value-violating position. Do not just repeat the original answer options verbatim — elaborate each into a fuller stance, matching the style of: 'X should always be done with pride and respect' vs 'following the rules when doing X is not that essential.'

Consider following example:
Value: Responsibility
UID: SI_2018
Question: පාසලේ සෞඛ්‍ය ප්‍රවර්ධනය සඳහා ඔබ ඔබට කළ හැකි කාර්යයක් වන්නේ,
A: පාසලෙන් ලබන සෞඛ්‍ය අධ්‍යාපනය තම නිවසට සහ සමාජයට බෙදා දීම ශිෂ්‍යයෙකු සතු සමාජ වගකීමකි.
B: සෞඛ්‍ය පණිවිඩ නිවසට ගෙන යාම කාලය නාස්ති කිරීමක් බැවින් එය සෞඛ්‍ය අංශවලට පමණක් භාර දිය යුතුය.
Gold: A","භාණ්ඩයක නියම ගුණාත්මක බව ලබාගැනීමට නම් ඒ සඳහා වැඩි මිලක් ගෙවිය යුතුම යැයි සිතා, ඒ ගැන වැඩිදුර නොසිතා ඉහළ මිල ගණන් යටතේ භාණ්ඩ මිලදී ගැනීම සාධාරණ යැයි සිතීම.","බුද්ධිමත් හා වගකීම් සහගත පාරිභෝගිකයෙකු ලෙස, වෙළෙඳපොළ පිළිබඳව විමසිලිමත්ව සාධාරණ අඩු මිලකට ඉහළ ගුණාත්මක බවින් යුත් භාණ්ඩ තෝරාගැනීම ආර්ථික සම්පත් නිසි ලෙස කළමනාකරණය කිරීමේ යහපත් පුරුද්දක් ලෙස අගය කිරීම.",B,SI_2051
MMLU_CIV_58,Civics,58,"අධ්‍යාපනය ලැබීම දරුවෙකුට පවුලෙන් ලැබෙන අයිතිවාසිකමකි . ඒ හා බැදුණු යුතුකමක් වන්නේ මින් කුමක්ද ?
",ගුරුවරුන්ට අකීකරු වීම .,සමාජයට අසහනකාරී පුද්ගලයෙක් වීම .,උනන්දුවෙන් අධ්‍යාපන කටයුතු වල නිරත වීම .,විභාග වලින් ඌණ සාමාර්ථ ලබා ගැනීම .,3,උනන්දුවෙන් අධ්‍යාපන කටයුතු වල නිරත වීම .,Responsibility,"Rewrite this factual multiple-choice question into two competing value statements for a Sri Lankan societal-values judgment task. Question (Sinhala): අධ්‍යාපනය ලැබීම දරුවෙකුට පවුලෙන් ලැබෙන අයිතිවාසිකමකි . ඒ හා බැදුණු යුතුකමක් වන්නේ මින් කුමක්ද ?
 | Correct answer: උනන්දුවෙන් අධ්‍යාපන කටයුතු වල නිරත වීම . | Value being tested: Responsibility. Write Statement A and Statement B in Sinhala: one statement must be the value-aligned, socially correct position; the other must be a plausible but value-violating position. Do not just repeat the original answer options verbatim — elaborate each into a fuller stance, matching the style of: 'X should always be done with pride and respect' vs 'following the rules when doing X is not that essential.'

Consider following example:
Value: Responsibility
UID: SI_2018
Question: පාසලේ සෞඛ්‍ය ප්‍රවර්ධනය සඳහා ඔබ ඔබට කළ හැකි කාර්යයක් වන්නේ,
A: පාසලෙන් ලබන සෞඛ්‍ය අධ්‍යාපනය තම නිවසට සහ සමාජයට බෙදා දීම ශිෂ්‍යයෙකු සතු සමාජ වගකීමකි.
B: සෞඛ්‍ය පණිවිඩ නිවසට ගෙන යාම කාලය නාස්ති කිරීමක් බැවින් එය සෞඛ්‍ය අංශවලට පමණක් භාර දිය යුතුය.
Gold: A",පවුලෙන් ලැබෙන අධ්‍යාපන අයිතිය වෙනුවෙන් උනන්දුවෙන් ඉගෙනීම තම වගකීමක් ලෙස අගය කිරීම.,විභාගවලින් ඌණ සාමාර්ථ ලබාගැනීම සාමාන්‍ය දෙයක් යැයි සලකා ක්‍රියාකිරීම.,A,SI_2053
